STATION,DATE,TMAX,TMIN,AWND,PRCP
USW00013810,2019-01-01,54,43,4.47,0
USW00013810,2019-01-02,45,41,6.49,0
USW00013810,2019-01-03,45,36,2.24,0
USW00013810,2019-01-04,49,35,4.92,0.66
USW00013810,2019-01-05,57,36,6.93,0
USW00013810,2019-01-06,60,35,3.58,0
USW00013810,2019-01-07,66,50,11.86,0
USW00013810,2019-01-08,67,44,15.21,0
USW00013810,2019-01-09,45,27,12.97,0
USW00013810,2019-01-10,35,24,5.37,0
USW00013810,2019-01-11,37,20,4.25,0.04
USW00013810,2019-01-12,40,32,6.93,0.24
USW00013810,2019-01-13,40,33,7.38,0.1
USW00013810,2019-01-14,37,28,5.14,0
USW00013810,2019-01-15,36,28,6.04,0
USW00013810,2019-01-16,42,36,5.82,0
USW00013810,2019-01-17,46,40,6.71,0.13
USW00013810,2019-01-18,43,39,4.92,0
USW00013810,2019-01-19,50,26,9.62,0.91
USW00013810,2019-01-20,26,15,9.4,0.03
USW00013810,2019-01-21,24,9,5.14,0
USW00013810,2019-01-22,50,21,10.07,0
USW00013810,2019-01-23,55,32,12.75,0.79
USW00013810,2019-01-24,36,26,10.96,0
USW00013810,2019-01-25,30,15,8.95,0
USW00013810,2019-01-26,43,25,9.84,0
USW00013810,2019-01-27,44,27,6.26,0
USW00013810,2019-01-28,52,24,10.29,0.02
USW00013810,2019-01-29,25,15,12.08,0
USW00013810,2019-01-30,22,3,10.07,0.02
USW00013810,2019-01-31,24,4,4.47,0
USW00013810,2019-02-01,38,24,2.01,0.01
USW00013810,2019-02-02,56,28,2.91,0
USW00013810,2019-02-03,68,38,4.7,0
USW00013810,2019-02-04,58,42,6.71,0.06
USW00013810,2019-02-05,59,46,3.58,0.18
USW00013810,2019-02-06,63,50,6.26,0.94
USW00013810,2019-02-07,68,35,12.3,1.29
USW00013810,2019-02-08,35,20,11.86,0
USW00013810,2019-02-09,34,15,6.93,0
USW00013810,2019-02-10,41,24,5.37,0.25
USW00013810,2019-02-11,50,41,4.92,1.47
USW00013810,2019-02-12,56,33,11.86,1.14
USW00013810,2019-02-13,42,28,12.3,0
USW00013810,2019-02-14,60,36,11.86,0
USW00013810,2019-02-15,54,30,8.72,0
USW00013810,2019-02-16,42,27,8.95,0
USW00013810,2019-02-17,39,30,6.71,0
USW00013810,2019-02-18,36,28,10.07,0
