STATION,DATE,TMAX,TMIN,AWND,PRCP
USW00013810,2019-02-19,38,24,8.28,0.02
USW00013810,2019-02-20,52,33,8.95,1.91
USW00013810,2019-02-21,46,30,1.79,0
USW00013810,2019-02-22,45,39,8.28,0
USW00013810,2019-02-23,60,40,8.05,1.05
USW00013810,2019-02-24,61,34,17.67,0.01
USW00013810,2019-02-25,44,26,5.37,0
USW00013810,2019-02-26,56,25,1.79,0
USW00013810,2019-02-27,66,29,6.71,0
USW00013810,2019-02-28,40,33,9.17,0.13
USW00013810,2019-03-01,38,33,5.59,0
USW00013810,2019-03-02,42,36,5.14,0
USW00013810,2019-03-03,38,28,7.61,0.12
USW00013810,2019-03-04,28,14,9.62,0
USW00013810,2019-03-05,29,10,10.96,0
USW00013810,2019-03-06,33,15,7.83,0
USW00013810,2019-03-07,36,22,4.7,0
USW00013810,2019-03-08,43,31,5.82,0.11
USW00013810,2019-03-09,63,37,10.96,1.31
USW00013810,2019-03-10,61,43,12.3,0
USW00013810,2019-03-11,53,35,4.47,0
USW00013810,2019-03-12,52,28,2.91,0
USW00013810,2019-03-13,70,43,9.62,0
USW00013810,2019-03-14,77,56,17,1.04
USW00013810,2019-03-15,57,35,11.41,0
USW00013810,2019-03-16,51,29,6.71,0
USW00013810,2019-03-17,57,27,7.16,0
USW00013810,2019-03-18,51,28,2.01,0
USW00013810,2019-03-19,53,26,1.79,0
USW00013810,2019-03-20,61,38,6.04,0
USW00013810,2019-03-21,48,40,8.5,0.08
USW00013810,2019-03-22,56,36,9.17,0
USW00013810,2019-03-23,59,28,2.01,0
USW00013810,2019-03-24,60,41,4.25,0.07
USW00013810,2019-03-25,54,39,7.16,0.35
USW00013810,2019-03-26,52,30,7.38,0
USW00013810,2019-03-27,62,26,3.13,0
USW00013810,2019-03-28,73,38,9.62,0
USW00013810,2019-03-29,67,54,7.16,0.06
USW00013810,2019-03-30,66,37,12.3,1.12
USW00013810,2019-03-31,44,30,9.62,0
USW00013810,2019-04-01,49,27,5.59,0
USW00013810,2019-04-02,59,32,4.7,0
USW00013810,2019-04-03,66,36,2.91,0
USW00013810,2019-04-04,72,50,8.28,0.06
USW00013810,2019-04-05,61,52,3.8,0.19
USW00013810,2019-04-06,70,53,3.36,0
USW00013810,2019-04-07,69,54,7.61,0.73
USW00013810,2019-04-08,72,59,6.04,0.01
USW00013810,2019-04-09,71,50,4.92,0
USW00013810,2019-04-10,74,43,4.25,0
USW00013810,2019-04-11,81,53,12.08,0
USW00013810,2019-04-12,75,51,12.75,0.07
USW00013810,2019-04-13,69,43,4.47,0.06
USW00013810,2019-04-14,76,40,14.99,1.5
USW00013810,2019-04-15,56,37,6.71,0
USW00013810,2019-04-16,77,42,9.62,0
USW00013810,2019-04-17,77,54,9.62,0
USW00013810,2019-04-18,76,53,12.75,0.22
USW00013810,2019-04-19,53,43,10.29,1.99
USW00013810,2019-04-20,44,38,5.82,1.03
USW00013810,2019-04-21,72,37,1.12,0
USW00013810,2019-04-22,78,42,5.37,0
USW00013810,2019-04-23,79,54,8.5,0.28
USW00013810,2019-04-24,76,53,4.7,0.4
USW00013810,2019-04-25,75,60,6.71,0.82
USW00013810,2019-04-26,66,49,12.75,0.29
USW00013810,2019-04-27,64,43,5.82,0.02
USW00013810,2019-04-28,65,46,8.95,0.08
USW00013810,2019-04-29,80,42,6.49,0
USW00013810,2019-04-30,83,59,6.93,0
USW00013810,2019-05-01,82,64,10.96,0.09
USW00013810,2019-05-02,78,60,4.92,0.26
USW00013810,2019-05-03,75,63,4.7,1.23
USW00013810,2019-05-04,68,57,5.82,0.2
USW00013810,2019-05-05,72,52,5.37,0.01
USW00013810,2019-05-06,78,47,2.68,0
USW00013810,2019-05-07,80,53,1.79,0
USW00013810,2019-05-08,86,56,8.05,0
USW00013810,2019-05-09,77,65,12.08,0
USW00013810,2019-05-10,68,54,5.82,0.01
USW00013810,2019-05-11,71,51,5.82,0.29
USW00013810,2019-05-12,59,50,5.37,0.06
USW00013810,2019-05-13,59,50,6.71,0
USW00013810,2019-05-14,71,44,1.12,0
USW00013810,2019-05-15,70,49,3.36,0
USW00013810,2019-05-16,81,51,5.59,0.14
USW00013810,2019-05-17,88,62,7.61,0
USW00013810,2019-05-18,89,63,7.38,0
USW00013810,2019-05-19,78,65,11.41,0.43
USW00013810,2019-05-20,76,58,7.16,0
USW00013810,2019-05-21,76,54,11.41,0
USW00013810,2019-05-22,83,66,7.61,0.01
USW00013810,2019-05-23,89,72,7.83,0.12
USW00013810,2019-05-24,90,70,5.82,0
USW00013810,2019-05-25,89,70,9.4,0
USW00013810,2019-05-26,87,67,4.92,0.85
USW00013810,2019-05-27,87,66,6.71,0
USW00013810,2019-05-28,88,74,10.51,0
USW00013810,2019-05-29,80,68,7.83,0.94
USW00013810,2019-05-30,77,66,5.82,0.28
USW00013810,2019-05-31,78,64,5.14,0.01
USW00013810,2019-06-01,82,59,4.25,0
USW00013810,2019-06-02,84,65,7.16,0
USW00013810,2019-06-03,78,51,2.68,0
USW00013810,2019-06-04,83,56,6.26,0
USW00013810,2019-06-05,88,68,8.72,0.6
USW00013810,2019-06-06,84,65,3.8,0.18
USW00013810,2019-06-07,76,70,10.07,0.37
USW00013810,2019-06-08,83,70,10.51,0.67
USW00013810,2019-06-09,81,70,5.37,1.92
USW00013810,2019-06-10,79,61,6.26,0.01
USW00013810,2019-06-11,77,52,4.7,0
USW00013810,2019-06-12,77,54,5.82,0
USW00013810,2019-06-13,71,53,11.18,0
USW00013810,2019-06-14,78,48,6.26,0
USW00013810,2019-06-15,83,66,12.3,0
USW00013810,2019-06-16,88,68,8.5,1.89
USW00013810,2019-06-17,85,68,6.49,0.64
USW00013810,2019-06-18,83,71,4.47,0.34
USW00013810,2019-06-19,88,70,5.82,0.12
USW00013810,2019-06-20,78,68,10.07,0
USW00013810,2019-06-21,83,60,4.47,0.45
USW00013810,2019-06-22,80,66,5.14,0.37
USW00013810,2019-06-23,88,65,6.93,0.34
USW00013810,2019-06-24,79,69,8.05,0.7
USW00013810,2019-06-25,85,64,5.14,0
USW00013810,2019-06-26,90,67,5.59,0
USW00013810,2019-06-27,90,70,5.59,0
USW00013810,2019-06-28,92,67,3.8,0
USW00013810,2019-06-29,93,70,2.46,0
USW00013810,2019-06-30,92,71,5.82,0.22
USW00013810,2019-07-01,91,68,3.8,0.15
USW00013810,2019-07-02,93,72,4.92,0
USW00013810,2019-07-03,88,72,5.14,0.61
USW00013810,2019-07-04,90,69,4.92,0
USW00013810,2019-07-05,92,73,5.37,0
USW00013810,2019-07-06,88,76,5.82,0
USW00013810,2019-07-07,92,74,3.36,0
USW00013810,2019-07-08,89,73,6.49,0
USW00013810,2019-07-09,91,69,1.79,0
USW00013810,2019-07-10,92,72,3.36,0.55
USW00013810,2019-07-11,91,75,4.7,0
USW00013810,2019-07-12,88,67,4.03,0
USW00013810,2019-07-13,92,62,2.01,0
USW00013810,2019-07-14,91,71,5.82,0
USW00013810,2019-07-15,89,73,4.92,0
USW00013810,2019-07-16,92,76,11.86,0.03
USW00013810,2019-07-17,91,75,8.72,0.1
USW00013810,2019-07-18,94,75,6.93,0.25
USW00013810,2019-07-19,94,77,7.61,0
USW00013810,2019-07-20,95,76,5.14,0
USW00013810,2019-07-21,93,74,7.61,0.19
USW00013810,2019-07-22,82,69,5.59,0.04
USW00013810,2019-07-23,82,63,6.04,0
USW00013810,2019-07-24,82,62,5.14,0
USW00013810,2019-07-25,85,59,1.57,0
USW00013810,2019-07-26,88,62,2.68,0
USW00013810,2019-07-27,91,66,5.37,0
USW00013810,2019-07-28,91,67,5.59,0
USW00013810,2019-07-29,91,71,8.72,0.89
USW00013810,2019-07-30,88,70,6.04,0
USW00013810,2019-07-31,88,67,2.91,0
USW00013810,2019-08-01,89,67,3.58,0
USW00013810,2019-08-02,89,69,4.7,0
USW00013810,2019-08-03,91,67,3.36,0
USW00013810,2019-08-04,91,69,2.91,0
USW00013810,2019-08-05,91,64,1.79,0
USW00013810,2019-08-06,91,68,6.49,0
USW00013810,2019-08-07,88,69,5.14,0.11
USW00013810,2019-08-08,90,67,5.37,0
USW00013810,2019-08-09,92,71,4.7,0
USW00013810,2019-08-10,88,64,5.59,0
USW00013810,2019-08-11,91,61,2.46,0
USW00013810,2019-08-12,89,70,4.7,0
USW00013810,2019-08-13,88,73,6.93,0.28
USW00013810,2019-08-14,91,71,5.59,0
USW00013810,2019-08-15,88,68,3.8,0
USW00013810,2019-08-16,90,65,3.36,0
USW00013810,2019-08-17,92,69,4.25,0.22
USW00013810,2019-08-18,95,72,6.49,0
USW00013810,2019-08-19,97,71,3.58,0.03
USW00013810,2019-08-20,97,72,6.49,0.02
USW00013810,2019-08-21,92,69,5.37,0
USW00013810,2019-08-22,86,71,4.92,0.62
USW00013810,2019-08-23,76,66,6.26,0.14
USW00013810,2019-08-24,82,59,8.95,0
USW00013810,2019-08-25,84,63,6.71,0
USW00013810,2019-08-26,76,71,9.62,1.16
USW00013810,2019-08-27,84,69,6.49,0.24
USW00013810,2019-08-28,82,62,4.25,0
USW00013810,2019-08-29,85,58,5.14,0
USW00013810,2019-08-30,89,66,5.37,0
USW00013810,2019-08-31,88,70,4.03,0
USW00013810,2019-09-01,91,67,3.8,0
USW00013810,2019-09-02,87,68,3.36,0
USW00013810,2019-09-03,90,64,3.58,0
USW00013810,2019-09-04,91,69,4.7,0
USW00013810,2019-09-05,82,62,4.92,0
USW00013810,2019-09-06,89,58,5.82,0
USW00013810,2019-09-07,78,60,3.8,0
USW00013810,2019-09-08,82,57,2.01,0
USW00013810,2019-09-09,92,62,2.24,0
USW00013810,2019-09-10,98,66,4.03,0
USW00013810,2019-09-11,95,76,3.8,0
USW00013810,2019-09-12,96,71,2.68,0
USW00013810,2019-09-13,96,72,5.82,0
USW00013810,2019-09-14,84,63,4.47,0
USW00013810,2019-09-15,92,56,1.79,0
USW00013810,2019-09-16,95,67,3.13,0.05
USW00013810,2019-09-17,90,69,6.04,0
USW00013810,2019-09-18,90,65,5.82,0
USW00013810,2019-09-19,92,63,5.37,0
USW00013810,2019-09-20,90,71,7.38,0.14
USW00013810,2019-09-21,91,69,5.82,0
USW00013810,2019-09-22,91,63,8.72,0
USW00013810,2019-09-23,87,62,8.28,0.02
USW00013810,2019-09-24,81,53,1.12,0
USW00013810,2019-09-25,89,54,6.04,0
USW00013810,2019-09-26,82,57,4.25,0
USW00013810,2019-09-27,94,54,6.26,0
USW00013810,2019-09-28,95,71,5.82,0
USW00013810,2019-09-29,95,71,3.58,0
USW00013810,2019-09-30,97,69,2.91,0
USW00013810,2019-10-01,96,70,3.58,0
USW00013810,2019-10-02,96,69,5.59,0
USW00013810,2019-10-03,96,69,6.71,0
USW00013810,2019-10-04,76,60,8.05,0
USW00013810,2019-10-05,84,53,4.47,0.01
USW00013810,2019-10-06,78,58,6.49,1.32
USW00013810,2019-10-07,67,50,2.91,0.18
USW00013810,2019-10-08,74,47,5.82,0
USW00013810,2019-10-09,65,47,3.58,0
USW00013810,2019-10-10,83,51,4.03,0
USW00013810,2019-10-11,75,47,7.83,0.33
USW00013810,2019-10-12,58,38,4.03,0
USW00013810,2019-10-13,70,37,4.92,0
USW00013810,2019-10-14,71,43,2.46,0
USW00013810,2019-10-15,77,40,5.59,0.43
USW00013810,2019-10-16,65,47,10.07,0.18
USW00013810,2019-10-17,62,36,2.91,0
USW00013810,2019-10-18,65,37,2.68,0
USW00013810,2019-10-19,74,38,4.25,0
USW00013810,2019-10-20,75,58,4.7,0
USW00013810,2019-10-21,75,58,11.86,0.02
USW00013810,2019-10-22,65,48,10.74,0
USW00013810,2019-10-23,67,40,6.93,0
USW00013810,2019-10-24,72,43,4.03,0
USW00013810,2019-10-25,61,50,3.13,0
USW00013810,2019-10-26,68,54,10.96,1.25
USW00013810,2019-10-27,67,47,6.71,0
USW00013810,2019-10-28,69,41,2.91,0
USW00013810,2019-10-29,62,48,2.68,0
USW00013810,2019-10-30,61,54,4.47,1.02
USW00013810,2019-10-31,59,35,11.86,0.74
USW00013810,2019-11-01,49,28,3.58,0
USW00013810,2019-11-02,56,30,5.37,0
USW00013810,2019-11-03,56,31,3.8,0
USW00013810,2019-11-04,63,33,7.38,0
USW00013810,2019-11-05,54,36,3.58,0.06
USW00013810,2019-11-06,58,30,2.68,0.06
USW00013810,2019-11-07,51,32,5.37,0.61
USW00013810,2019-11-08,39,25,3.58,0
USW00013810,2019-11-09,51,24,6.04,0
USW00013810,2019-11-10,66,38,7.61,0
USW00013810,2019-11-11,61,30,9.17,0.19
USW00013810,2019-11-12,30,18,8.05,0
USW00013810,2019-11-13,36,14,4.7,0
USW00013810,2019-11-14,49,25,4.25,0
USW00013810,2019-11-15,44,25,3.13,0
USW00013810,2019-11-16,50,29,5.82,0
USW00013810,2019-11-17,49,26,0.89,0
USW00013810,2019-11-18,46,35,2.46,0
USW00013810,2019-11-19,47,37,3.58,0.14
USW00013810,2019-11-20,49,41,3.58,0
USW00013810,2019-11-21,61,42,9.4,0.01
USW00013810,2019-11-22,57,38,6.26,0.47
USW00013810,2019-11-23,44,35,6.26,0.24
USW00013810,2019-11-24,51,34,8.5,0
USW00013810,2019-11-25,63,36,8.05,0
USW00013810,2019-11-26,58,43,7.61,0.51
USW00013810,2019-11-27,63,40,16.78,0.41
USW00013810,2019-11-28,42,37,6.26,0
USW00013810,2019-11-29,46,40,4.25,0
USW00013810,2019-11-30,60,40,6.71,2.46
USW00013810,2019-12-01,63,38,14.09,0
USW00013810,2019-12-02,38,35,10.96,0.03
USW00013810,2019-12-03,43,33,8.28,0
USW00013810,2019-12-04,54,36,10.29,0
USW00013810,2019-12-05,57,30,2.91,0
USW00013810,2019-12-06,53,39,5.82,0.06
USW00013810,2019-12-07,50,27,5.82,0
USW00013810,2019-12-08,61,30,6.71,0
USW00013810,2019-12-09,62,52,14.09,0.17
USW00013810,2019-12-10,56,26,10.07,0.01
USW00013810,2019-12-11,42,20,4.92,0
USW00013810,2019-12-12,50,24,4.47,0
USW00013810,2019-12-13,49,37,4.92,0.38
USW00013810,2019-12-14,46,39,6.93,0.18
USW00013810,2019-12-15,39,32,6.71,0.1
USW00013810,2019-12-16,39,36,6.26,1.06
USW00013810,2019-12-17,40,28,8.05,0.03
USW00013810,2019-12-18,30,24,6.49,0
USW00013810,2019-12-19,43,19,4.25,0
USW00013810,2019-12-20,50,24,2.01,0
USW00013810,2019-12-21,53,28,1.79,0
USW00013810,2019-12-22,54,28,2.01,0
USW00013810,2019-12-23,64,31,3.58,0
USW00013810,2019-12-24,64,30,0.67,0
USW00013810,2019-12-25,69,30,3.8,0
USW00013810,2019-12-26,65,48,6.93,0
USW00013810,2019-12-27,63,53,3.8,0
USW00013810,2019-12-28,63,51,6.26,0.01
USW00013810,2019-12-29,64,56,8.28,1.46
USW00013810,2019-12-30,57,39,14.54,0.1
USW00013810,2019-12-31,40,38,13.87,0
